GEOID,LAT,LONG,COUNTRY
01772,42.302877,-71.530828,US
01773,42.425506,-71.310812,US
01775,42.429688,-71.512514,US
01776,42.383367,-71.42107,US
01778,42.356275,-71.361942,US
01801,42.488703,-71.154383,US
01803,42.503227,-71.201713,US
01810,42.648044,-71.161751,US
01821,42.54933,-71.251725,US
01824,42.59079,-71.355182,US
01826,42.679723,-71.30068,US
01827,42.676149,-71.499772,US
01830,42.796313,-71.053436,US
01832,42.791114,-71.132859,US
01833,42.726226,-70.983318,US
01834,42.7539,-71.015935,US
01835,42.751325,-71.094411,US
01840,42.706763,-71.160403,US
01841,42.715079,-71.1483,US
01843,42.689988,-71.16039,US
01844,42.742641,-71.178651,US
01845,42.673909,-71.091334,US
01850,42.656045,-71.303309,US
01851,42.627999,-71.336757,US
01852,42.632978,-71.295616,US
01854,42.649481,-71.348229,US
01860,42.838603,-71.011997,US
01862,42.578543,-71.295592,US
01863,42.630484,-71.397895,US
01864,42.578401,-71.084448,US
01867,42.535183,-71.105423,US
01876,42.611893,-71.227226,US
01879,42.667762,-71.42882,US
01880,42.504361,-71.064061,US
01886,42.585541,-71.44025,US
01887,42.564647,-71.164516,US
01890,42.452752,-71.144319,US
01901,42.460419,-70.946379,US
01902,42.471039,-70.941535,US
01904,42.491447,-70.971441,US
01905,42.462378,-70.972343,US
01906,42.469675,-71.012785,US
01907,42.474145,-70.906597,US
01908,42.428234,-70.926071,US
01913,42.851277,-70.955792,US
01915,42.570442,-70.867693,US
01921,42.683108,-71.027188,US
01922,42.757313,-70.914241,US
01923,42.574174,-70.950516,US
01929,42.640451,-70.771165,US
01930,42.620291,-70.677956,US
01937,42.585723,-70.984051,US
01938,42.686464,-70.839594,US
01940,42.534146,-71.038333,US
01944,42.576636,-70.767154,US
01945,42.504317,-70.851542,US
01949,42.610322,-71.006295,US
01950,42.812358,-70.891095,US
01951,42.773351,-70.850211,US
01952,42.844794,-70.841499,US
01960,42.53431,-70.969443,US
01965,42.564101,-70.824723,US
01966,42.640699,-70.62025,US
01969,42.721495,-70.886637,US
01970,42.529248,-70.868017,US
01982,42.626223,-70.85723,US
01983,42.641387,-70.943383,US
01984,42.600668,-70.88326,US
01985,42.799565,-70.964428,US
02019,42.076682,-71.47449,US
02021,42.175737,-71.125385,US
02025,42.236428,-70.814333,US
02026,42.246872,-71.179462,US
02030,42.23416,-71.291167,US
02032,42.156882,-71.216187,US
02035,42.061338,-71.245802,US
02038,42.084858,-71.410571,US
02043,42.216098,-70.88127,US
02045,42.28587,-70.879517,US
02047,42.145534,-70.69505,US
02048,42.017302,-71.21642,US
02050,42.115139,-70.710331,US
02052,42.184599,-71.305307,US
02053,42.156203,-71.430345,US
02054,42.173103,-71.363756,US
02056,42.116244,-71.329274,US
02061,42.164569,-70.818844,US
02062,42.187389,-71.192477,US
02066,42.202273,-70.758184,US
02067,42.1076,-71.181828,US
02071,42.106425,-71.268951,US
02072,42.119006,-71.10365,US
02081,42.147403,-71.257972,US
02090,42.219645,-71.216768,US
02093,42.052671,-71.356858,US
02108,42.355097,-71.065737,US
02109,42.366919,-71.050416,US
02110,42.358254,-71.051927,US
02111,42.35068,-71.060527,US
02113,42.365264,-71.055222,US
02114,42.363651,-71.066888,US
02115,42.339422,-71.094531,US
02116,42.350979,-71.076591,US
02118,42.33786,-71.069805,US
02119,42.324066,-71.085188,US
02120,42.332134,-71.096606,US
02121,42.305403,-71.086971,US
02122,42.295088,-71.052533,US
02124,42.285922,-71.075046,US
02125,42.315682,-71.055555,US
02126,42.277436,-71.089968,US
02127,42.335301,-71.038216,US
02128,42.361519,-71.007393,US
02129,42.379657,-71.061487,US
02130,42.308175,-71.113471,US
02131,42.282323,-71.124746,US
02132,42.279082,-71.160449,US
02133,42.358352,-71.063858,US
02134,42.358786,-71.129581,US
02135,42.349688,-71.153964,US
02136,42.254749,-71.127072,US
02138,42.379637,-71.135152,US
02139,42.362391,-71.102336,US
02140,42.392157,-71.133996,US
02141,42.3703,-71.08256,US
02142,42.362505,-71.08096,US
02143,42.3814,-71.09672,US
02144,42.400077,-71.123088,US
02145,42.391577,-71.08991,US
02148,42.42938,-71.058706,US
02149,42.405938,-71.054649,US
02150,42.396824,-71.031348,US
02151,42.41829,-71.001251,US
02152,42.377382,-70.977026,US
02155,42.42384,-71.107673,US
02163,42.367226,-71.125092,US
02169,42.240016,-71.015205,US
02170,42.266415,-71.015576,US
02171,42.29147,-71.025822,US
02176,42.455723,-71.059019,US
02180,42.474208,-71.097665,US
02184,42.206188,-71.00232,US
02186,42.241559,-71.082437,US
02188,42.204662,-70.957633,US
02189,42.211968,-70.929639,US
02190,42.166731,-70.952363,US
02191,42.245077,-70.946528,US
02199,42.347476,-71.082033,US
02203,42.361445,-71.059453,US
02205,42.349403,-71.055621,US
02210,42.348036,-71.039283,US
02215,42.347635,-71.103082,US
02301,42.078371,-71.042304,US
02302,42.088907,-70.998375,US
02322,42.132461,-71.054013,US
02324,41.972376,-70.978773,US
02325,41.990101,-70.962408,US
02330,41.875179,-70.746715,US
02332,42.044407,-70.70606,US
02333,42.037116,-70.942178,US
02338,42.002634,-70.863706,US
02339,42.122956,-70.85631,US
02341,42.05024,-70.867359,US
02343,42.140346,-70.997861,US
